,UNIT,IN,OUT,COORDS
0,R001,121664.0,123031.0,"[40.703082, -74.01298299999999]"
1,R003,6660.0,3798.0,"[40.689945, -73.872564]"
2,R004,16872.0,15319.0,"[40.691320000000005, -73.867135]"
3,R005,16468.0,8112.0,"[40.692304, -73.860151]"
4,R006,20230.0,9054.0,"[40.693866, -73.851568]"
5,R007,9791.0,4870.0,"[40.695184000000005, -73.844326]"
6,R008,11424.0,6586.0,"[40.697404999999996, -73.836354]"
7,R009,10258.0,5267.0,"[40.700536, -73.82838199999999]"
8,R010,147507.0,118462.0,"[40.757303, -73.98978699999999]"
9,R011,225731.0,162529.0,"[40.757303, -73.98978699999999]"
10,R012,270920.0,194502.0,"[40.752247, -73.99345600000001]"
11,R013,78199.0,114488.0,"[40.752247, -73.99345600000001]"
12,R014,207895.0,146057.0,"[40.709938, -74.007983]"
13,R015,106526.0,116735.0,"[40.760179, -73.975196]"
14,R016,32575.0,38709.0,"[40.757529999999996, -73.969102]"
15,R017,149639.0,152853.0,"[40.757529999999996, -73.969102]"
16,R018,214631.0,169718.0,"[40.746655, -73.891361]"
17,R019,95372.0,35523.0,"[40.712621999999996, -73.783815]"
18,R020,255150.0,271191.0,"[40.758652000000005, -73.981311]"
19,R021,170731.0,168400.0,"[40.754197999999995, -73.984573]"
20,R022,305562.0,238813.0,"[40.749533, -73.987899]"
21,R023,198902.0,213643.0,"[40.749533, -73.987899]"
22,R024,100877.0,80209.0,"[40.700488, -73.80793299999999]"
23,R025,173372.0,118510.0,"[40.702131, -73.80111]"
24,R027,115025.0,108801.0,"[40.706864, -74.009056]"
25,R028,126040.0,131495.0,"[40.709938, -74.007983]"
26,R029,255038.0,132215.0,"[40.712557000000004, -74.009807]"
27,R030,105057.0,82986.0,"[40.715436, -74.009335]"
28,R031,148774.0,144552.0,"[40.750329, -73.991096]"
29,R032,160110.0,200853.0,"[40.755905, -73.98650400000001]"
30,R033,238064.0,163158.0,"[40.755905, -73.98650400000001]"
31,R034,30983.0,29311.0,"[40.815596, -73.958395]"
32,R035,108895.0,81219.0,"[40.840778, -73.94009100000001]"
33,R036,28590.0,14902.0,"[40.860523, -73.925575]"
34,R037,26829.0,11095.0,"[40.864653000000004, -73.918719]"
35,R038,8465.0,3812.0,"[40.869359, -73.915329]"
36,R039,23082.0,5279.0,"[40.874551000000004, -73.909879]"
37,R040,38956.0,6554.0,"[40.878867, -73.90485799999999]"
38,R041,122109.0,65013.0,"[40.704782, -74.014099]"
39,R042,21167.0,61249.0,"[40.704782, -74.014099]"
40,R043,94697.0,72063.0,"[40.707466, -74.01186700000001]"
41,R044,106771.0,88365.0,"[40.713159000000005, -74.003917]"
42,R045,105439.0,84769.0,"[40.751849, -73.976945]"
43,R046,273700.0,251255.0,"[40.751849, -73.976945]"
44,R047,188910.0,191253.0,"[40.751849, -73.976945]"
45,R048,55130.0,40055.0,"[40.751849, -73.976945]"
46,R049,92355.0,101260.0,"[40.757108, -73.97187]"
47,R050,116426.0,97624.0,"[40.762796, -73.967686]"
48,R051,154476.0,129147.0,"[40.762796, -73.967686]"
49,R052,31401.0,7204.0,"[40.885973, -73.878851]"
50,R053,95905.0,40326.0,"[40.816132, -73.917754]"
51,R054,53443.0,47316.0,"[40.753824, -73.981966]"
52,R055,248520.0,194754.0,"[40.759578000000005, -73.830056]"
53,R056,46081.0,42211.0,"[40.688269, -73.980453]"
54,R057,189846.0,169276.0,"[40.684063, -73.977417]"
55,R058,16613.0,12849.0,"[40.680801, -73.97513199999999]"
56,R059,31213.0,11372.0,"[40.675219, -73.971012]"
57,R060,20447.0,18597.0,"[40.672013, -73.96436]"
58,R061,18086.0,17231.0,"[40.669734999999996, -73.950455]"
59,R062,118095.0,81584.0,"[40.669278999999996, -73.932967]"
60,R063,33788.0,18524.0,"[40.664590999999994, -73.922668]"
61,R064,27101.0,12477.0,"[40.661466, -73.91631600000001]"
62,R065,16679.0,17589.0,"[40.662541, -73.90876300000001]"
63,R066,11761.0,3794.0,"[40.663419, -73.902454]"
64,R067,27404.0,5987.0,"[40.664884, -73.894258]"
