,UNIT,IN,OUT,COORDS
0,R001,127718.0,128358.0,"[40.703082, -74.01298299999999]"
1,R003,6607.0,3776.0,"[40.689945, -73.872564]"
2,R004,16902.0,14670.0,"[40.691320000000005, -73.867135]"
3,R005,16339.0,8062.0,"[40.692304, -73.860151]"
4,R006,20116.0,8949.0,"[40.693866, -73.851568]"
5,R007,9658.0,4837.0,"[40.695184000000005, -73.844326]"
6,R008,11257.0,6620.0,"[40.697404999999996, -73.836354]"
7,R009,10189.0,5236.0,"[40.700536, -73.82838199999999]"
8,R010,146386.0,116235.0,"[40.757303, -73.98978699999999]"
9,R011,230460.0,162083.0,"[40.757303, -73.98978699999999]"
10,R012,272724.0,190236.0,"[40.752247, -73.99345600000001]"
11,R013,78665.0,112512.0,"[40.752247, -73.99345600000001]"
12,R014,210199.0,156468.0,"[40.709938, -74.007983]"
13,R015,105036.0,117312.0,"[40.760179, -73.975196]"
14,R016,32430.0,38438.0,"[40.757529999999996, -73.969102]"
15,R017,147676.0,152122.0,"[40.757529999999996, -73.969102]"
16,R018,212654.0,168186.0,"[40.746655, -73.891361]"
17,R019,96735.0,34922.0,"[40.712621999999996, -73.783815]"
18,R020,253405.0,268651.0,"[40.758652000000005, -73.981311]"
19,R021,168505.0,164414.0,"[40.754197999999995, -73.984573]"
20,R022,303910.0,234831.0,"[40.749533, -73.987899]"
21,R023,199025.0,210579.0,"[40.749533, -73.987899]"
22,R024,100360.0,79011.0,"[40.700488, -73.80793299999999]"
23,R025,176515.0,120062.0,"[40.702131, -73.80111]"
24,R027,115651.0,111740.0,"[40.706864, -74.009056]"
25,R028,125291.0,131439.0,"[40.709938, -74.007983]"
26,R029,255874.0,132880.0,"[40.712557000000004, -74.009807]"
27,R030,105279.0,83495.0,"[40.715436, -74.009335]"
28,R031,149848.0,142315.0,"[40.750329, -73.991096]"
29,R032,159906.0,197558.0,"[40.755905, -73.98650400000001]"
30,R033,234424.0,160319.0,"[40.755905, -73.98650400000001]"
31,R034,30257.0,28750.0,"[40.815596, -73.958395]"
32,R035,108368.0,81322.0,"[40.840778, -73.94009100000001]"
