index,IN,lat,lon
0,187722.0,40.703082,-74.012983
1,9866.0,40.689945,-73.872564
2,24648.0,40.69132,-73.867135
3,24380.0,40.692304,-73.860151
4,29903.0,40.693866,-73.851568
5,11880.0,40.695184,-73.844326
6,16628.0,40.697405,-73.836354
7,15543.0,40.700536,-73.828382
8,243276.0,40.757303,-73.989787
9,281164.0,40.757303,-73.989787
10,67353115.0,40.752247,-73.993456
11,117476.0,40.752247,-73.993456
12,271282.0,40.709938,-74.007983
13,151360.0,40.760179,-73.975196
14,44001.0,40.75753,-73.969102
15,190148.0,40.75753,-73.969102
16,331869.0,40.746655,-73.891361
17,131310.0,40.712622,-73.783815
18,349183.0,40.758652,-73.981311
19,234131.0,40.754198,-73.984573
20,451044.0,40.749533,-73.987899
21,254022.0,40.749533,-73.987899
22,152903.0,40.700488,-73.807933
23,236716.0,40.702131,-73.80111
24,156095.0,40.706864,-74.009056
25,174390.0,40.709938,-74.007983
26,355335.0,40.712557,-74.009807
27,141389.0,40.715436,-74.009335
28,212692.0,40.750329,-73.991096
29,214594.0,40.755905,-73.986504
30,371204.0,40.755905,-73.986504
31,48399.0,40.815596,-73.958395
32,157201.0,40.840778,-73.940091
33,44733.0,40.860523,-73.925575
34,41111.0,40.864653,-73.918719
35,12271.0,40.869359,-73.915329
36,35053.0,40.874551,-73.909879
37,57849.0,40.878867,-73.904858
38,148078.0,40.704782,-74.014099
39,25220.0,40.704782,-74.014099
40,114551.0,40.707466,-74.011867
41,155047.0,40.713159,-74.003917
42,142868.0,40.751849,-73.976945
43,413793.0,40.751849,-73.976945
44,249504.0,40.751849,-73.976945
45,72722.0,40.751849,-73.976945
46,131226.0,40.757108,-73.97187
47,167861.0,40.762796,-73.967686
48,213739.0,40.762796,-73.967686
49,46377.0,40.885973,-73.878851
50,120568.0,40.816132,-73.917754
51,74343.0,40.753824,-73.981966
52,373394.0,40.759578,-73.830056
53,64342.0,40.688269,-73.980453
54,285790.0,40.684063,-73.977417
55,25107.0,40.680801,-73.975132
56,46505.0,40.675219,-73.971012
57,31968.0,40.672013,-73.96436
58,27280.0,40.669735,-73.950455
59,170639.0,40.669279,-73.932967
60,49755.0,40.664591,-73.922668
61,42722.0,40.661466,-73.916316
62,19409.0,40.662541,-73.908763
63,18338.0,40.663419,-73.902454
64,41234.0,40.664884,-73.894258
65,8261.0,40.665405,-73.889451
66,43294.0,40.666252,-73.884087
67,78673.0,40.643738,-74.073622
69,88187.0,40.764909,-73.973372
70,91599.0,40.764755,-73.980646
71,159253.0,40.760139,-73.984112
72,78956.0,40.745574,-73.988682
73,157440.0,40.741006,-73.989315
74,453648.0,40.76811,-73.981891
75,112173.0,40.730348,-73.992705
76,96740.0,40.724332,-73.997684
77,38794.0,40.713086,-74.007232
78,64518.0,40.710662,-74.011052
79,21422.0,40.692182,-73.985935
80,19465.0,40.753076,-73.93271
81,44617.0,40.756977,-73.929373
82,79155.0,40.761959,-73.925382
83,89023.0,40.766843,-73.921423
84,73678.0,40.770426,-73.917614
85,104532.0,40.774984,-73.912067
86,99056.0,40.747647,-73.883786
87,139707.0,40.749143,-73.869452
88,106997.0,40.650494,-73.962836
89,113527.0,40.690612,-73.981848
90,17102.0,40.711353,-73.88958
91,161691.0,40.824787,-73.944232
92,193033.0,40.811056,-73.952386
93,60781.0,40.678848,-73.904139
94,65801.0,40.833773,-73.91843
95,118878.0,40.738007,-73.998381
96,38046.0,40.834255,-73.851222
97,39032.0,40.839892,-73.842952
98,218850.0,40.692404,-73.990151
99,61878.0,40.650843,-73.949575
100,111428.0,40.632836,-73.947642
101,149619.0,40.745924,-73.998005
102,75193.0,40.862803,-73.901034
103,108919.0,40.762877,-73.98159
104,41448.0,40.707564,-73.803326
105,56023.0,40.710459,-73.7936
106,158539.0,40.761675,-73.983908
107,42613.0,40.889185,-73.898549
108,75369.0,40.718233,-74.000323
109,75050.0,40.862941,-73.901199
110,41833.0,40.829495,-73.874559
111,75679.0,40.750508,-73.940177
112,106814.0,40.748541,-73.876791
113,39134.0,40.670711,-73.958051
114,31103.0,40.669409,-73.942173
115,43263.0,40.706539,-74.011052
116,82675.0,40.847369,-73.939683
117,245956.0,40.692338,-73.987342
118,28741.0,40.705416,-73.810562
119,72187.0,40.686154,-73.990881
120,28577.0,40.603234,-73.972342
121,144769.0,40.740088,-73.986429
122,124997.0,40.804406,-73.937452
123,56075.0,40.87963,-73.884666
124,38916.0,40.74238,-73.948889
125,48791.0,40.639961,-73.948352
126,88088.0,40.58681,-73.954167
127,126794.0,40.699707,-73.91181
128,271705.0,40.732251,-74.000559
129,113972.0,40.720852,-74.005237
130,67569.0,40.748948,-73.937194
131,-1306018.0,40.721681,-73.84439
132,168271.0,40.71838,-73.987813
133,138742.0,40.743095,-73.984251
134,161991.0,40.785822,-73.95097
135,33041.0,40.903085,-73.850591
136,64220.0,40.820889,-73.890567
137,106851.0,40.745623,-73.902969
